Date,Close,High,Low,Open,Volume
2003-09-30,49.84492111206055,49.864335352938035,49.64593162311997,49.6507861090613,62600
2003-10-01,49.820682525634766,49.869216302139186,49.796413785937666,49.81582803711739,66300
2003-10-02,49.74303436279297,49.820691381315484,49.51007071300632,49.602283793888745,68900
2003-10-03,49.38393020629883,49.52953541288049,49.35966143757048,49.52953541288049,64500
2003-10-06,49.456703186035156,49.500382500110106,49.31109806666798,49.33051232944307,28700
2003-10-07,49.28679275512695,49.476077033950965,49.20428128000986,49.476077033950965,13000
2003-10-08,49.408145904541016,49.52948221206407,49.15576431127454,49.257686365247075,42700
2003-10-09,49.23339080810547,49.26251031893636,49.06837160665853,49.20912208048776,35900
2003-10-10,49.50519561767578,49.52946435158511,49.349885348167255,49.349885348167255,13500
2003-10-13,49.28679275512695,49.55373031872773,49.28679275512695,49.50519655288113,23700
2003-10-14,49.18971633911133,49.306198105451266,49.087794330702806,49.23339931579417,54300
2003-10-15,49.068389892578125,49.13633791176381,48.97132235170981,49.10721839008118,23100
2003-10-16,48.93736267089844,49.286811844965456,48.80146659273691,49.20915482722149,62300
2003-10-17,49.170284271240234,49.170284271240234,48.89849234733529,49.03924279446814,55600
2003-10-20,49.14120101928711,49.247977554704995,49.08781275157817,49.08781275157817,12900
2003-10-21,49.23823547363281,49.37413514736378,49.209115966419915,49.209115966419915,49000
2003-10-22,49.456703186035156,49.48096823733501,49.26741875259303,49.38390062635157,25400
2003-10-23,49.33534622192383,49.44212277115852,49.33534622192383,49.427559302988875,20700
2003-10-24,49.57798767089844,49.57798767089844,49.40811767798989,49.40811767798989,28200
2003-10-27,49.48091125488281,49.56342270237937,49.408112481926636,49.524594221544255,35400
2003-10-28,49.675106048583984,49.675106048583984,49.40816827291768,49.40816827291768,16600
2003-10-29,49.456703186035156,49.5537707970186,49.456703186035156,49.54406551707706,71700
2003-10-30,49.456703186035156,49.485822728751785,49.39846039770988,49.403314889126655,17300
2003-10-31,49.37906265258789,49.4567197296651,49.21404691813868,49.4567197296651,31000
2003-11-03,49.290897369384766,49.39805209189294,49.290897369384766,49.35421809596055,56700
2003-11-04,49.3882942199707,49.47596589549269,49.3882942199707,49.4126451922801,26900
2003-11-05,49.3882942199707,49.471094214629325,49.3882942199707,49.436999880593206,24600
2003-11-06,49.12037658691406,49.28598018797289,49.12037658691406,49.28110851017668,78000
2003-11-07,49.144737243652344,49.144737243652344,48.97426566004242,49.042454293486394,33400
2003-11-10,49.23728942871094,49.261644110884326,49.1496214912934,49.23242146507848,21100
2003-11-11,49.14958572387695,49.290830886486,49.10087639497721,49.28109125030609,23700
2003-11-12,49.24213790893555,49.35903215308941,49.10088899408249,49.212915276897334,16400
2003-11-13,49.60258102416992,49.636679061254725,49.45159241880486,49.45159241880486,25400
2003-11-14,49.64156723022461,49.75846527809131,49.62695590324223,49.64156723022461,18800
2003-11-17,49.85099792480469,49.885092254979995,49.76819793952226,49.78768094476577,48800
2003-11-18,49.82665252685547,49.8510034991303,49.70488651747019,49.74384881631067,26800
2003-11-19,49.59282684326172,49.82661905928941,49.59282684326172,49.81687570412094,44900
2003-11-20,49.76327133178711,49.80710897419895,49.65124882028865,49.68047143789708,21400
2003-11-21,49.81684112548828,49.894773048737505,49.7827468380664,49.84606373870743,66500
2003-11-24,49.60747528076172,49.748724308390095,49.60747528076172,49.72436961824576,37000
2003-11-25,49.80229949951172,49.80229949951172,49.57337879967218,49.57337879967218,54000
2003-11-26,49.62208557128906,49.74872326858556,49.62208557128906,49.719500613826334,25300
2003-11-28,49.54410934448242,49.558720657733005,49.54410934448242,49.558720657733005,22900
2003-12-01,49.408363342285156,49.481619544980205,49.32534138468121,49.398597587376265,58700
2003-12-02,49.39372253417969,49.39860727557477,49.13000238833509,49.24721010005514,52100
2003-12-03,49.44256591796875,49.496286903182934,49.27652194619146,49.27652194619146,32400
2003-12-04,49.51579284667969,49.5695138001067,49.34974897315205,49.393700448157254,25200
2003-12-05,49.764892578125,49.764892578125,49.57442861894184,49.76000783595024,42200
2003-12-08,49.764892578125,49.83326406470528,49.72093735048534,49.80884407979808,67200
2003-12-09,49.48650360107422,49.86254663829286,49.42789789453558,49.83324564800614,87900
2003-12-10,49.681861877441406,49.69162763411156,49.6183714182047,49.686742892793525,120500
2003-12-11,49.857666015625,49.88208599352423,49.52069342160184,49.613481140494784,91600
2003-12-12,49.8869514465332,49.979739129551696,49.78927529866629,49.93090291860027,16400
2003-12-15,49.857666015625,49.935806964130116,49.740458318832836,49.911386986230895,21100
2003-12-16,49.8869514465332,49.90648667610659,49.764859056172604,49.86253147807546,61500
2003-12-17,50.00908279418945,50.08233903066556,49.891875051407865,50.02861803898088,23100
2003-12-18,50.08235168457031,50.12630320198067,49.916303924872736,50.03351169726826,33400
2003-12-19,50.106719970703125,50.106719970703125,49.98951231054414,50.077418987154466,26500
2003-12-22,50.08235168457031,50.204444200889625,49.94560493647964,50.1507231956317,139700
2003-12-23,49.8869514465332,50.05788004784523,49.8869514465332,50.00415909800944,80300
2003-12-24,49.92603302001953,50.05300645156676,49.86742731825281,49.97975025584958,16200
2003-12-26,50.17512893676758,50.17512893676758,49.96512970371666,50.10187269715128,54500
2003-12-29,50.05302429199219,50.10674527293493,49.8918650751302,50.057909033705045,37600
2003-12-30,49.96025848388672,50.004210000695025,49.85281647484262,49.95537374002985,33800
2003-12-31,50.02925491333008,50.02925491333008,49.95578976929204,49.95578976929204,51900
2004-01-02,49.74523162841797,50.048886057202516,49.63748316218489,50.02929508728783,26100
2004-01-05,49.80398178100586,49.80398178100586,49.6129745823597,49.7305166115434,63600
2004-01-06,50.02925491333008,50.04884586751305,49.83824778078665,49.9264052063138,151800
2004-01-07,50.141910552978516,50.176193797076714,50.02926720948159,50.0537531057841,75200
2004-01-08,50.12726593017578,50.200731162122665,50.01462247957456,50.053800698228905,39800
2004-01-09,50.54353332519531,50.57781658113257,50.4015053624514,50.51414874484756,49800
2004-01-12,50.40150451660156,50.56802211790383,50.396605841094264,50.54353247696193,67600
2004-01-13,50.51908493041992,50.533777231502704,50.3966441059335,50.4652106687181,21700
2004-01-14,50.514163970947266,50.56313953182073,50.47008708713987,50.47008708713987,14100
