Date,Open,High,Low,Close,Volume
2007-01-11,100.0,100.0,99.91999816894531,99.91999816894531,1100
2007-01-12,99.87999725341797,99.93000030517578,99.8499984741211,99.93000030517578,1500
2007-01-16,99.83000183105469,99.83000183105469,99.83000183105469,99.83000183105469,600
2007-01-17,99.94000244140625,99.94000244140625,99.80999755859375,99.81999969482422,700
2007-01-18,99.83999633789062,99.91000366210938,99.83999633789062,99.91000366210938,6200
2007-01-19,99.86000061035156,99.86000061035156,99.77999877929688,99.80000305175781,2000
2007-01-22,99.9000015258789,99.9000015258789,99.8499984741211,99.8499984741211,1200
2007-01-23,99.75,99.75,99.70999908447266,99.70999908447266,1200
2007-01-24,99.75,99.75,99.75,99.75,1300
2007-01-25,99.66000366210938,99.66000366210938,99.55000305175781,99.55000305175781,2100
2007-01-26,99.52999877929688,99.55999755859375,99.4800033569336,99.55999755859375,1200
2007-01-29,99.5999984741211,99.61000061035156,99.5,99.52999877929688,3100
2007-01-30,99.61000061035156,99.61000061035156,99.58000183105469,99.58000183105469,400
2007-01-31,99.66999816894531,99.83999633789062,99.66999816894531,99.83999633789062,3600
2007-02-01,99.73999786376953,99.73999786376953,99.5199966430664,99.52999877929688,1600
2007-02-02,99.55000305175781,99.66000366210938,99.55000305175781,99.58000183105469,6800
2007-02-05,99.70999908447266,99.70999908447266,99.70999908447266,99.70999908447266,7100
2007-02-06,99.66999816894531,99.87999725341797,99.66999816894531,99.87999725341797,6600
2007-02-07,99.94999694824219,99.98999786376953,99.94000244140625,99.98999786376953,2200
2007-02-08,99.97000122070312,100.02999877929688,99.94999694824219,100.02999877929688,7500
2007-02-09,99.80999755859375,99.80999755859375,99.80999755859375,99.80999755859375,2000
2007-02-12,99.80000305175781,99.86000061035156,99.70999908447266,99.7300033569336,5000
2007-02-13,99.80000305175781,99.80000305175781,99.69000244140625,99.69000244140625,1900
2007-02-14,99.88999938964844,100.12999725341797,99.88999938964844,100.12000274658203,16600
2007-02-15,100.23999786376953,100.30000305175781,100.22000122070312,100.2699966430664,9900
2007-02-16,100.29000091552734,100.29000091552734,100.26000213623047,100.27999877929688,16300
2007-02-20,100.23999786376953,100.31999969482422,100.23999786376953,100.2699966430664,5400
2007-02-21,100.30000305175781,100.36000061035156,100.30000305175781,100.36000061035156,1900
2007-02-22,100.20999908447266,100.20999908447266,100.20999908447266,100.20999908447266,200
2007-02-23,100.2300033569336,100.47000122070312,100.2300033569336,100.41999816894531,13300
2007-02-26,100.55000305175781,100.62000274658203,100.54000091552734,100.58999633789062,1400
2007-02-27,100.83000183105469,101.2699966430664,100.83000183105469,101.19999694824219,12300
2007-02-28,101.19999694824219,101.19999694824219,100.97000122070312,101.0199966430664,126000
2007-03-01,100.81999969482422,100.94999694824219,100.68000030517578,100.68000030517578,48700
2007-03-02,100.91999816894531,100.95999908447266,100.83999633789062,100.95999908447266,13600
2007-03-05,101.0999984741211,101.11000061035156,100.95999908447266,100.98999786376953,8500
2007-03-06,100.8499984741211,101.01000213623047,100.80000305175781,100.88999938964844,10200
2007-03-07,100.9000015258789,101.02999877929688,100.9000015258789,101.02999877929688,4600
2007-03-08,100.9800033569336,101.05000305175781,100.97000122070312,101.05000305175781,3500
2007-03-09,100.62000274658203,100.7300033569336,100.62000274658203,100.69000244140625,8400
2007-03-12,100.7699966430664,100.9000015258789,100.7699966430664,100.87000274658203,8300
2007-03-13,101.08999633789062,101.2699966430664,101.05000305175781,101.18000030517578,25200
2007-03-14,101.19999694824219,101.30000305175781,101.13999938964844,101.16000366210938,5000
2007-03-15,101.12999725341797,101.12999725341797,101.05000305175781,101.05999755859375,20500
2007-03-16,101.0,101.0999984741211,101.0,101.08000183105469,9500
2007-03-19,100.9000015258789,100.97000122070312,100.88999938964844,100.91000366210938,2000
2007-03-20,101.0999984741211,101.11000061035156,101.05999755859375,101.06999969482422,10100
2007-03-21,101.06999969482422,101.36000061035156,100.98999786376953,101.2699966430664,28000
2007-03-22,101.19999694824219,101.19999694824219,101.05000305175781,101.08000183105469,4300
2007-03-23,101.18000030517578,101.18000030517578,100.9800033569336,100.9800033569336,17400
2007-03-26,100.95999908447266,101.25,100.95999908447266,101.11000061035156,8200
2007-03-27,101.05999755859375,101.0999984741211,101.02999877929688,101.08999633789062,31500
2007-03-28,101.2300033569336,101.30000305175781,101.12000274658203,101.12000274658203,2100
2007-03-29,101.0,101.06999969482422,101.0,101.01000213623047,7100
2007-03-30,101.05000305175781,101.1500015258789,100.83999633789062,101.0,27600
2007-04-02,100.7300033569336,100.7300033569336,100.54000091552734,100.63999938964844,25100
2007-04-03,100.51000213623047,100.66000366210938,100.51000213623047,100.55000305175781,8200
2007-04-04,100.77999877929688,100.83000183105469,100.58999633789062,100.79000091552734,19400
2007-04-05,100.73999786376953,100.73999786376953,100.55000305175781,100.62000274658203,3300
2007-04-09,100.0999984741211,100.23999786376953,100.0999984741211,100.22000122070312,6900
2007-04-10,100.38999938964844,100.38999938964844,100.33000183105469,100.3499984741211,5500
2007-04-11,100.45999908447266,100.48999786376953,100.27999877929688,100.33999633789062,4800
2007-04-12,100.33000183105469,100.37000274658203,100.30000305175781,100.31999969482422,3500
2007-04-13,100.33999633789062,100.33999633789062,100.12999725341797,100.20999908447266,15200
2007-04-16,100.25,100.33000183105469,100.2300033569336,100.27999877929688,3100
2007-04-17,100.44999694824219,100.5999984741211,100.44999694824219,100.5999984741211,2200
2007-04-18,100.69999694824219,100.7699966430664,100.69999694824219,100.75,6300
2007-04-19,100.8499984741211,100.8499984741211,100.6500015258789,100.75,2800
2007-04-20,100.6500015258789,100.75,100.6500015258789,100.72000122070312,3500
2007-04-23,100.70999908447266,100.87999725341797,100.70999908447266,100.86000061035156,1900
2007-04-24,101.05000305175781,101.05000305175781,101.0199966430664,101.02999877929688,1300
2007-04-25,100.94000244140625,101.02999877929688,100.91000366210938,100.91999816894531,7100
2007-04-26,100.88999938964844,100.88999938964844,100.76000213623047,100.76000213623047,6900
2007-04-27,100.7699966430664,100.7699966430664,100.69999694824219,100.76000213623047,1700
2007-04-30,100.93000030517578,101.05999755859375,100.91999816894531,101.05999755859375,8800
2007-05-01,100.77999877929688,100.77999877929688,100.55000305175781,100.62999725341797,7600
2007-05-02,100.62000274658203,100.62000274658203,100.52999877929688,100.58999633789062,28400
2007-05-03,100.48999786376953,100.5,100.38999938964844,100.5,12900
2007-05-04,100.6500015258789,100.66999816894531,100.5999984741211,100.6500015258789,64900
2007-05-07,100.5199966430664,100.69000244140625,100.5199966430664,100.69000244140625,1500
2007-05-08,100.69999694824219,100.76000213623047,100.68000030517578,100.70999908447266,8800
2007-05-09,100.69999694824219,100.73999786376953,100.47000122070312,100.55000305175781,10300
2007-05-10,100.56999969482422,100.6500015258789,100.56999969482422,100.6500015258789,12200
2007-05-11,100.83000183105469,100.83000183105469,100.58000183105469,100.58000183105469,1400
2007-05-14,100.55999755859375,100.55999755859375,100.43000030517578,100.43000030517578,8400
2007-05-15,100.5,100.55000305175781,100.36000061035156,100.44000244140625,8300
2007-05-16,100.44999694824219,100.5199966430664,100.44999694824219,100.51000213623047,4700
2007-05-17,100.3499984741211,100.41000366210938,100.26000213623047,100.27999877929688,8800
2007-05-18,100.23999786376953,100.26000213623047,100.05000305175781,100.0999984741211,3300
2007-05-21,100.05000305175781,100.23999786376953,100.05000305175781,100.23999786376953,5300
2007-05-22,100.05999755859375,100.1500015258789,99.98999786376953,99.98999786376953,9900
2007-05-23,100.12999725341797,100.12999725341797,99.97000122070312,99.98999786376953,4000
2007-05-24,100.0199966430664,100.04000091552734,99.8499984741211,100.02999877929688,11400
2007-05-25,99.95999908447266,100.04000091552734,99.91999816894531,99.93000030517578,10600
2007-05-29,99.94999694824219,99.94999694824219,99.79000091552734,99.83999633789062,10800
2007-05-30,100.05000305175781,100.05000305175781,99.83999633789062,99.9000015258789,18600
2007-05-31,99.88999938964844,99.91000366210938,99.68000030517578,99.80999755859375,9600
2007-06-01,99.05000305175781,99.29000091552734,99.0199966430664,99.12000274658203,49100
2007-06-04,99.12000274658203,99.25,99.05999755859375,99.25,6800
2007-06-05,99.08999633789062,99.11000061035156,98.93000030517578,99.04000091552734,16600
2007-06-06,99.0,99.19999694824219,99.0,99.19999694824219,27900
2007-06-07,98.81999969482422,98.86000061035156,98.73999786376953,98.75,3000
2007-06-08,98.66999816894531,98.79000091552734,98.56999969482422,98.75,6000
2007-06-11,98.66000366210938,98.81999969482422,98.66000366210938,98.7699966430664,6200
2007-06-12,98.5,98.55000305175781,98.33000183105469,98.3499984741211,8000
2007-06-13,98.4000015258789,98.55000305175781,98.33000183105469,98.51000213623047,13200
2007-06-14,98.51000213623047,98.58000183105469,98.37999725341797,98.47000122070312,3800
2007-06-15,98.55000305175781,98.7699966430664,98.55000305175781,98.76000213623047,14800
2007-06-18,98.7300033569336,98.8499984741211,98.66999816894531,98.83000183105469,9200
2007-06-19,98.9800033569336,99.0999984741211,98.94000244140625,99.0999984741211,5200
2007-06-20,99.05999755859375,99.05999755859375,98.87000274658203,98.95999908447266,74400
2007-06-21,98.9800033569336,99.0199966430664,98.83999633789062,98.88999938964844,8900
2007-06-22,98.88999938964844,99.12999725341797,98.80000305175781,99.0999984741211,8900
2007-06-25,99.33000183105469,99.33000183105469,99.19999694824219,99.2300033569336,4200
2007-06-26,99.38999938964844,99.38999938964844,99.1500015258789,99.27999877929688,6800
2007-06-27,99.5199966430664,99.55000305175781,99.37999725341797,99.4000015258789,5000
2007-06-28,99.36000061035156,99.37999725341797,99.23999786376953,99.26000213623047,3200
2007-06-29,99.31999969482422,99.58999633789062,99.30000305175781,99.58000183105469,4000
2007-07-02,99.29000091552734,99.36000061035156,99.20999908447266,99.33000183105469,11300
2007-07-03,99.31999969482422,99.38999938964844,99.18000030517578,99.19000244140625,3700
2007-07-05,99.0,99.0199966430664,98.76000213623047,98.77999877929688,4100
2007-07-06,98.69999694824219,98.70999908447266,98.52999877929688,98.62999725341797,6200
2007-07-09,98.75,98.77999877929688,98.69999694824219,98.7300033569336,5300
2007-07-10,99.12000274658203,99.30999755859375,99.08000183105469,99.30999755859375,36200
2007-07-11,99.30000305175781,99.37999725341797,99.06999969482422,99.06999969482422,6200
2007-07-12,99.1500015258789,99.16999816894531,98.91999816894531,98.95999908447266,11200
2007-07-13,99.08999633789062,99.08999633789062,98.94000244140625,99.04000091552734,3200
2007-07-16,99.08000183105469,99.29000091552734,99.04000091552734,99.2699966430664,26400
2007-07-17,99.05000305175781,99.2699966430664,99.05000305175781,99.19000244140625,6700
2007-07-18,99.25,99.52999877929688,99.25,99.44000244140625,17900
2007-07-19,99.3499984741211,99.41000366210938,99.22000122070312,99.4000015258789,13000
2007-07-20,99.56999969482422,99.83000183105469,99.56999969482422,99.76000213623047,53700
2007-07-23,99.73999786376953,99.80999755859375,99.6500015258789,99.76000213623047,123700
2007-07-24,99.83999633789062,99.94000244140625,99.81999969482422,99.94000244140625,8800
2007-07-25,99.98999786376953,100.0999984741211,99.98999786376953,100.02999877929688,26400
2007-07-26,100.44999694824219,100.80000305175781,100.44999694824219,100.69999694824219,53700
2007-07-27,100.7699966430664,100.9000015258789,100.6500015258789,100.79000091552734,14400
2007-07-30,100.83000183105469,100.87000274658203,100.58000183105469,100.58000183105469,9700
2007-07-31,100.51000213623047,100.80999755859375,100.5,100.80999755859375,37300
2007-08-01,100.02999877929688,100.5999984741211,100.02999877929688,100.25,5500
2007-08-02,100.33000183105469,100.47000122070312,100.29000091552734,100.44000244140625,4700
2007-08-03,100.5199966430664,100.8499984741211,100.5199966430664,100.8499984741211,13400
2007-08-06,100.75,100.91999816894531,100.52999877929688,100.52999877929688,7500
2007-08-07,100.62999725341797,100.66999816894531,100.38999938964844,100.38999938964844,12800
2007-08-08,100.3499984741211,100.3499984741211,99.94999694824219,100.2300033569336,13100
2007-08-09,100.6500015258789,100.66999816894531,100.4800033569336,100.66000366210938,116100
2007-08-10,100.80000305175781,100.80000305175781,100.5,100.5199966430664,28900
2007-08-13,100.5,100.72000122070312,100.4800033569336,100.69999694824219,4900
2007-08-14,100.55000305175781,101.91999816894531,100.55000305175781,101.91999816894531,6100
2007-08-15,101.0999984741211,101.2699966430664,100.95999908447266,101.13999938964844,18400
2007-08-16,101.4000015258789,102.06999969482422,101.4000015258789,101.87000274658203,30100
2007-08-17,101.37999725341797,101.72000122070312,101.37999725341797,101.55000305175781,82300
2007-08-20,101.68000030517578,101.88999938964844,101.68000030517578,101.76000213623047,8400
2007-08-21,102.1500015258789,102.1500015258789,101.81999969482422,102.05000305175781,30900
2007-08-22,101.76000213623047,101.87999725341797,101.58999633789062,101.7300033569336,16300
2007-08-23,101.6500015258789,101.79000091552734,101.54000091552734,101.5999984741211,25600
2007-08-24,101.6500015258789,101.69999694824219,101.37999725341797,101.52999877929688,7600
2007-08-27,101.62999725341797,101.70999908447266,101.45999908447266,101.70999908447266,11500
2007-08-28,101.91999816894531,102.30000305175781,101.91999816894531,102.30000305175781,7400
2007-08-29,102.33999633789062,102.41000366210938,101.94999694824219,101.94999694824219,51500
