Date,Close,High,Low,Open,Volume
2007-01-31,47.969478607177734,48.00235183965203,47.50375218596381,47.50375218596381,2078000
2007-02-01,47.9117317199707,48.28032902632881,47.86222109213618,48.219813238594135,986200
2007-02-02,47.97222900390625,48.07675699644565,47.90621485892312,47.90621485892312,814700
2007-02-05,48.03826141357422,48.11528073676681,47.95024112874197,48.08227365460951,395500
2007-02-06,48.30229949951172,48.31880302994284,47.95021019286238,47.972212101946795,770500
2007-02-07,48.44535827636719,48.47836955176041,48.32432672681361,48.35733800220683,836200
2007-02-08,48.483848571777344,48.58287396393663,48.36282126779257,48.406829288679695,980200
2007-02-09,48.20880889892578,48.36835014228267,48.16480085029257,48.35184659939037,878300
2007-02-12,48.09877395629883,48.21980551237539,48.043760757328954,48.13178103623315,467600
2007-02-13,47.99421691894531,48.13175193182407,47.972210813216456,48.13175193182407,1310600
2007-02-14,48.45085525512695,48.51687360104509,48.14827641621545,48.14827641621545,2262500
2007-02-15,48.593894958496094,48.73143003704008,48.593894958496094,48.703921342436274,893800
2007-02-16,48.76443099975586,48.80844322670964,48.67641074308527,48.7369223086005,1476700
2007-02-20,48.87446594238281,48.87996852102642,48.68742024087727,48.68742024087727,847400
2007-02-21,48.79193115234375,48.79742953182303,48.67640222473532,48.703906713840425,379800
2007-02-22,48.52782440185547,48.659856759986155,48.461806124173634,48.63785486465853,485200
2007-02-23,48.87446594238281,48.929483334343466,48.681917662233666,48.70392377957038,735700
2007-02-26,49.19904708862305,49.2045496668374,49.02300236089994,49.04500847652,763400
2007-02-27,49.820701599121094,50.20580230716708,49.292567442624495,49.36958674478626,3243200
2007-02-28,49.595149993896484,49.77119472594513,49.45211233747025,49.60065257224605,1701900
2007-03-01,49.56365966796875,49.93918394317596,49.50843637728737,49.856346900520386,2423900
2007-03-02,49.812171936035156,49.96680306513521,49.51948467202811,49.679635181502576,1619800
2007-03-05,49.895015716552734,49.9778527792825,49.73486518548,49.96680980377695,1505200
2007-03-06,49.74589920043945,49.900526096176776,49.69619529065707,49.734852014591404,837400
2007-03-07,49.939178466796875,49.97783518736141,49.69067157934866,49.7458948639742,915400
2007-03-08,49.895015716552734,49.933672450724224,49.76247894414593,49.86188257676804,574700
2007-03-09,49.37038040161133,49.646501092656955,49.25441021696425,49.359333214539774,1534700
2007-03-12,49.56365966796875,49.69067702847624,49.52500294316508,49.55261669513928,594400
2007-03-13,49.861881256103516,49.88949080077014,49.69068775405954,49.828748117196405,553800
2007-03-14,49.63545608520508,49.99993743575895,49.61336592335931,49.78456362434714,1698100
2007-03-15,49.629913330078125,49.679613010872956,49.51946257286919,49.5691664669296,394900
2007-03-16,49.61890411376953,49.65756085505458,49.50845748531762,49.51950046285529,623800
2007-03-19,49.51399612426758,49.53608208605316,49.43667840493769,49.46981577415624,693900
2007-03-20,49.54157257080078,49.67410931928051,49.53052959728883,49.652023372256615,768400
2007-03-21,49.56365966796875,49.75141969893885,48.97828520286548,49.359328857853924,1513400
2007-03-22,49.17158508300781,49.414572698258006,49.05561487025706,49.414572698258006,1484300
2007-03-23,49.03351974487305,49.25993655260085,49.02799615055735,49.25441717155313,1679700
2007-03-26,49.094261169433594,49.298587790387934,48.87336376737951,48.93963425197599,763600
2007-03-27,49.011409759521484,49.0445428854799,48.906482576298146,48.95066288642021,619800
2007-03-28,48.91200637817383,49.21021715287745,48.82364997081699,49.09977059036483,816900
2007-03-29,48.845767974853516,48.967261801325186,48.773978083424375,48.895471909896045,823000
2007-03-30,48.751869201660156,49.1053033539565,48.71873606652845,48.95620003259638,2015100
2007-04-02,48.83279800415039,48.89931412203097,48.78291408740303,48.838342071194795,579600
2007-04-03,48.77181625366211,48.871588296198446,48.76627641660355,48.78844422260429,617000
2007-04-04,48.821685791015625,48.96579761953807,48.72191378648689,48.87156967883917,576900
2007-04-05,48.63881301879883,48.843901274154334,48.616640972634556,48.8328131366295,436400
2007-04-09,48.31731414794922,48.39491417814601,48.29514210662378,48.378286204373055,1283900
2007-04-10,48.461429595947266,48.527945718954314,48.39491347294022,48.439257554944916,674400
2007-04-11,48.42818832397461,48.544588402846095,48.37830015938072,48.48361632883451,476200
2007-04-12,48.43925094604492,48.5390230025007,48.3782788988284,48.500222993261445,495100
2007-04-13,48.289608001708984,48.48360810023592,48.22863593804552,48.4503521487413,557800
2007-04-16,48.555660247802734,48.6000043322269,48.444804265626956,48.444804265626956,833600
2007-04-17,48.82725524902344,48.86605949049279,48.68868317137873,48.71639927846135,1254200
2007-04-18,49.07115173339844,49.08777970889817,48.976923719643324,48.98246778777154,450800
2007-04-19,48.98802185058594,49.17093809196221,48.888249739733986,49.14322620104487,1305900
2007-04-20,48.86050033569336,49.02678424018976,48.8106122041264,49.02678424018976,664500
2007-04-23,49.03785705566406,49.1043689051365,48.799513060997455,48.854941011851686,419000
2007-04-24,49.22078323364258,49.23186713454288,49.02677902238649,49.02677902238649,881300
2007-04-25,49.048946380615234,49.21523448045612,48.838318452514564,49.09329043775708,569000
2007-04-26,48.69424819946289,49.01573657291846,48.69424819946288,49.01573657291846,2048400
2007-04-27,48.683128356933594,48.80507242436939,48.655412258377126,48.7829003913008,428700
2007-04-30,49.19308090209961,49.19308090209961,48.915936784341305,48.9602808581147,485700
2007-05-01,49.228729248046875,49.31217805223439,49.017329289236685,49.27880022831238,487200
2007-05-02,49.20089340209961,49.22314668937367,49.117444635917025,49.20089340209961,443900
2007-05-03,49.089656829833984,49.1619811185689,48.96170565564366,49.1619811185689,427000
2007-05-04,49.2899169921875,49.31217028609167,49.234285879617964,49.24541040437914,262000
2007-05-07,49.423404693603516,49.42896907504314,49.32883143102705,49.345520330966494,210200
2007-05-08,49.31214904785156,49.51798874452577,49.31214904785156,49.51798874452577,488400
2007-05-09,49.11747360229492,49.32331344768588,49.100784688092446,49.317749061490694,634900
2007-05-10,49.234256744384766,49.284323442754946,49.1285547219864,49.1786256647359,519500
2007-05-11,49.061763763427734,49.345483338462955,49.0283817441947,49.31210556360617,1238400
2007-05-14,48.933841705322266,49.111863699129266,48.933841705322266,49.084050282697035,315200
